,GEOCODIGO,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,URBANO,DISTRITO,LOC_ZON,SHAPE_Leng,SHAPE_Area,area_m2,area_km2,lon,lat,Cantidad_Shops,Vel_promedio,demanda1,customer1,demanda2,customer2,demanda3,customer3,demanda4,customer4,demanda5,customer5
73,13101121003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,3,0.00543908238,1.84244e-06,19007.4138300032,0.0190074138300032,-70.6499438381205,-33.4497671892627,1,12.378090429261,112,76,125,90,103,131,120,80,107,80
74,13101121004,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,4,0.01493872715,9.97655e-06,102919.867024317,0.102919867024317,-70.6490734207801,-33.4518850698863,1,13.770341257371,143,61,140,54,164,59,142,66,140,66
75,13101121005,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,5,0.01287233846,1.041044e-05,107395.576381361,0.107395576381361,-70.6459917218196,-33.4522009432174,3,17.3936947240897,136,141,102,87,264,50,106,78,183,61
76,13101121006,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,6,0.01255139799,5.61467e-06,57923.2402385128,0.0579232402385128,-70.6468855465945,-33.449995844779,3,14.4052592039561,103,56,107,54,145,58,124,51,115,51
77,13101121007,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,7,0.00768131508,3.52772e-06,36393.8166091955,0.0363938166091955,-70.6458328819742,-33.4490407136108,1,18.1765377885235,151,57,137,51,184,79,150,54,105,78
78,13101121008,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,8,0.00766166787,3.6226e-06,37373.3473930483,0.0373733473930483,-70.6460570189883,-33.4474264708982,0,15.8462675281672,110,54,149,52,164,104,182,67,139,80
79,13101121009,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,12,9,0.00698107295,2.99943e-06,30944.1058931957,0.0309441058931957,-70.6478956233648,-33.4477411577966,0,11.7525332243028,234,66,136,73,106,66,157,72,109,61
80,13101131001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,13,1,0.01544726897,1.158607e-05,119532.420375783,0.119532420375783,-70.6530723441533,-33.4457988028013,0,15.8710342113025,185,63,228,65,164,63,155,62,107,66
81,13101131002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,13,2,0.00557740736,2.03183e-06,20961.8564458125,0.0209618564458125,-70.6543733475557,-33.4471529077538,1,13.1709718031743,119,69,100,77,146,99,102,107,122,107
82,13101131003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,13,3,0.00861671808,4.58096e-06,47259.1385350853,0.0472591385350853,-70.653610974732,-33.4499034742705,0,12.5040635405004,175,52,118,53,161,71,176,100,124,144
